日期,版本,事件Id,事件名称,消息数量,独立用户数
2023-03-22,null,smart_assistant,智能指南,4,4
2023-03-22,null,mm_unit,毫米单位,5,4
2023-03-22,null,inch_unit,公制单位,6,6
2023-03-22,null,canvas_image_seal,印章,14,9
2023-03-22,null,rn_faq,FAQ,25,23
2023-03-22,null,canvas_doodle,创作涂鸦,25,14
2023-03-22,null,rn_help,帮助,27,24
2023-03-22,null,canvas_image_print,版画,31,14
2023-03-22,null,canvas_image_bw,黑白画,34,14
2023-03-22,null,canvas_text,创作文本,35,20
2023-03-22,null,rn_course,新手教程,45,19
2023-03-22,null,canvas_material,创作素材,49,16
2023-03-22,null,canvas_image_dithering,抖动,60,24
2023-03-22,null,rn_guide,新手引导,67,56
2023-03-22,null,canvas_image,创作图片,95,24
2023-03-22,null,canvas_shape,创作形状,106,25
2023-03-22,null,canvas_image_gcode,GCode,154,14
2023-03-22,null,create,打开创作,217,54
2023-03-22,null,engrave,雕刻,421,25
2023-03-22,null,user_register,用户注册,424,206
2023-03-22,null,preview,预览,443,30
2023-03-22,null,connect_device,连接设备,6432,1036
2023-03-22,null,search_device,搜索设备,12464,1127
2023-03-23,null,mm_unit,毫米单位,3,3
2023-03-23,null,rn_share,分享,4,4
2023-03-23,null,inch_unit,公制单位,5,4
2023-03-23,null,canvas_image_seal,印章,12,7
2023-03-23,null,canvas_doodle,创作涂鸦,20,14
2023-03-23,null,canvas_image_print,版画,24,16
2023-03-23,null,rn_faq,FAQ,26,19
2023-03-23,null,rn_help,帮助,31,24
2023-03-23,null,rn_course,新手教程,31,15
2023-03-23,null,canvas_image_bw,黑白画,42,17
2023-03-23,null,canvas_image_dithering,抖动,50,20
2023-03-23,null,canvas_image_gcode,GCode,56,19
2023-03-23,null,rn_guide,新手引导,59,48
2023-03-23,null,canvas_text,创作文本,59,26
2023-03-23,null,canvas_material,创作素材,61,24
2023-03-23,null,canvas_image,创作图片,64,26
2023-03-23,null,canvas_shape,创作形状,113,29
2023-03-23,null,create,打开创作,296,68
2023-03-23,null,user_register,用户注册,359,170
2023-03-23,null,preview,预览,657,46
2023-03-23,null,engrave,雕刻,930,37
2023-03-23,null,connect_device,连接设备,6923,1165
2023-03-23,null,search_device,搜索设备,15068,1248
2023-03-24,null,inch_unit,公制单位,1,1
2023-03-24,null,rn_share,分享,2,2
2023-03-24,null,smart_assistant,智能指南,7,3
2023-03-24,null,canvas_image_seal,印章,13,6
2023-03-24,null,canvas_doodle,创作涂鸦,18,14
2023-03-24,null,rn_faq,FAQ,25,24
2023-03-24,null,rn_course,新手教程,27,19
2023-03-24,null,canvas_image_bw,黑白画,28,12
